BACIAS,Área de Drenagem  (km²),Perímetro (km),Comprimento do rio principal (km),Comprimento total dos canais (km),Coeficiente de compacidade,Fator de forma,Índice de Circularidade,Ordem do rio principal,Densidade de drenagem (km/km²),índice de Sinuosidade,Declividade média (%),Altitude máxima  (m),Altitude mínima (m),Altitude média (m),Amplitude altimétrica (m),Diferença de cotas no talvegue (m),Extensão média do escoamento superficial (Km),Coeficiente de rugosidade,Coeficiente de escoamento do método racional,Declividade do vale (%),Tamanho
Bacia do Monte Sinai (MT),19.02,22.92,6.4,32.09,0.76,0.46,0.45,4,1.68,,,303,247,,56,,,,,,pequena
Bacia do Córrego do Botafogo (GO),32.84,24.34,10.93,19.18,,,,,,14.27,,,,,,143,,,,,pequena
Bacia dos Franceses (AM),38.95,31.66,10,,1.42,0.42,0.49,,,1.09,7,101,18,,83,,,,,,pequena
Bacia do Mindú (AM),64.7,47.96,17,,1.67,0.22,0.35,,,1.09,8,124,19,,105,,,,,,média
Vertente Marítima(CE) 1,4081,13.3,,,1.84,0.46,,,,,7.1,,,,,,,,,,pequena
Vertente Marítima(CE) 2,4892,11.3,3.25,,1.43,0.22,,,,,2.19,,,,,,,,,1,pequena
Vertente Marítima(CE) 3,4654,11.7,4.55,,1.52,,,,,,2.95,,,,,3.2305,,,,0.71,pequena
Vertente Marítima(CE) 4,1162,5.8,,,1.51,,,,,,4.17,,,,,,,,,,micro
Vertente Marítima(CE) 5,1962,7,,,1.4,0.51,,,,,3.25,,,,,,,,,,micro
Vertente Marítima(CE) 6,9411,15.5,4.3,,1.41,,,,,,4.1,,,,,2537,,,,0.59,pequena
Vertente Marítima(CE) 7,8378,22,,,2.13,0.4,,,,,7,,,,,,,,,,pequena
Rio Cocó(CE) 1,20701,23.1,7.15,,1.42,0.25,,,,,1.95,,,,,107.25,,,,15,pequena
Rio Cocó(CE) 3,41.18,36.1,12.8,,1.58,0.23,,,,,2.57,,,,,2816,,,,0.22,pequena
Rio Cocó(CE) 4,8201,15.6,6,,1.53,0.2,,,,,3.28,,,,,0.9,,,,0.15,pequena
Rio Cocó(CE) 5,22918,25.8,10.8,,1.51,0.37,,,,,3.19,,,,,1.62,,,,0.15,pequena
Rio Maranguapinho(CE) 1,6739,14,4.25,,1.51,,,,,,3.76,,,,,2.04,,,,0.48,pequena
Rio Maranguapinho(CE) 2,9.41,,,,,0.36,,,,,3.7,,,,,,,,,0.21,pequena
Rio Maranguapinho(CE) 3,24092,28.6,8.2,,1.63,0.52,,,,,3.45,,,,,1394,,,,0.17,pequena
Rio Maranguapinho(CE) 4,2403,7.2,2.15,,1.3,1.37,,,,,2.59,,,,,1.6555,,,,0.77,micro
Rio Maranguapinho(CE) 5,2.31,7,1.3,,1.29,0.4,,,,,3.49,,,,,702,,,,0.54,micro
Rio Maranguapinho(CE) 6,3.34,7.4,2.9,,1.74,0.63,,,,,3.19,,,,,1.74,,,,0.6,pequena
Rio Maranguapinho(CE) 7,1.41,5.55,1.5,,1.31,,,,,,3.14,,,,,0.9,,,,0.6,micro
Sobral,11210,,195,,,,,,,,,,,,,893.1,,,,4.58,macro
São Luís do Curú,7330,,150,,,,,,,,,,,,,610.5,,,,4.07,macro
Granja,3786,,135,,,,,,,,,,,,,384.75,,,,2.85,grande
Chorozinho,3726,,172,,,,,,,,,,,,,371.52,,,,2.16,grande
Açude Araras,3501,,135,,,,,,,,,,,,,842.4,,,,6.24,grande
Pereira de miranda,3264,,117.5,,,,,,,,,,,,,359.55,,,,3.06,grande
Groaíras,2698,,138.8,,,,,,,,,,,,,678732,,,,4.89,grande
Carnaubal,2045,,112.5,,,,,,,,,,,,,499.5,,,,4.44,grande
Cristais,2037,,90,,,,,,,,,,,,,162,,,,1.8,grande
Edson Queiroz,1782,,82.5,,,,,,,,,,,,,599775,,,,7.27,grande
Caio Prado,1577,,65,,,,,,,,,,,,,280.8,,,,4.32,grande
General Sampaio,1574,,87.5,,,,,,,,,,,,,569625,,,,6.51,grande
São Pedro da Timbauba,1550,,82.5,,,,,,,,,,,,,444675,,,,5.39,grande
Faz. Cajazeiras,1530,,105,,,,,,,,,,,,,769.65,,,,7.33,grande
Faz. Cajazeiras,1505,,86.5,,,,,,,,,,,,,580415,,,,6.71,grande
Caxitoré,1259,,82.5,,,,,,,,,,,,,380325,,,,4.61,grande
Aires de Sousa,1092,,57.5,,,,,,,,,,,,,710125,,,,12.35,grande
Pacoti,1080,,75,,,,,,,,,,,,,825,,,,11,grande
