BACIAS,Ventura,CHPW,Temez,Kirpich,Ven te Chow,Pasini,Picking,Pickering,Bransby Willians,Giandotti,Epsey,Corps Engineers,Dooge
Rio Maranguapinho(CE) 6,3,"2,63","0,74","1,08","0,98","2,97","0,99","2,63","1,72",,"5,14","0,47","0,65"
Rio Maranguapinho(CE) 7,"1,95","1,58","0,45","0,65","0,64","1,79","0,64","1,58","0,97",,"4,06","0,29","0,46"
Sobral,"62,91","30,66","12,36","12,61","7,54","65,49","8,26","30,7","34,25",,"16,23","7,87","12,89"
São Luís do Curú,"53,97","26,22","10,35","10,78","6,62","55,25","7,22","26,25","28,15",,"15,08","6,59","11,05"
Granja,"46,35","27,73","10,23","11,41","6,93","51,15","7,58","27,76","29,06",,"15,48","6,51","8,95"
Chorozinho,"52,82","37,18","12,96","15,29","8,85","63,36","9,76","37,23","39,2",,"17,76","8,25","9,32"
Açude Araras (CE),"30,12","20,51","8,81","8,44","5,4","33,68","5,84","20,53","25,04",,"13,44","5,61","7,59"
Pereira de miranda,"41,53","24,25","9,08","9,97","6,2","44,86","6,75","24,28","25,31",,"14,54","5,78","8,32"
Groaíras,"29,87","23,01","9,43","9,47","5,94","35,2","6,45","23,04","27,74",,"14,19",6,"7,11"
Carnaubal,"27,29","20,32","8,18","8,36","5,35","31,41","5,79","20,34","23,57",,"13,39","5,21","6,45"
Cristais,"42,78","24,22","8,2","9,96","6,2","45,73","6,74","24,25","22,6",,"14,53","5,22","7,51"
Edson Queiroz,"19,91","13,23","5,89","5,44","3,75","21,14",4,"13,25","15,88",,"10,95","3,75","5,61"
Caio Prado,"24,3","13,46","5,42","5,54","3,8","24,32","4,05","13,47","14,05",,"11,04","3,45","5,83"
General Sampaio,"19,77","14,45","6,29","5,94","4,03","21,86","4,31","14,47","17,43",,"11,41",4,"5,43"
São Pedro da Timbauba,"21,56","14,85","6,23","6,11","4,13","23,44","4,41","14,87","17,09",,"11,56","3,97","5,57"
Faz. Cajazeiras,"18,37","15,88","7,06","6,53","4,36","21,69","4,68","15,9","20,49",,"11,93","4,5","5,26"
Faz. Cajazeiras,"19,04","14,16","6,2","5,82","3,97","21,13","4,24","14,17","17,21",,"11,3","3,95","5,3"
